ticket,issue_date,issue_time,form,method,issue,caller_ID,call_message_type,bNum,city,state,zip,location
1374994,,,Radio,Broadcast,Interference,,,,Frederick,MD,21702,"MD 21702
(39.461767, -77.448244)"
1374996,,,Radio,Broadcast,Interference,,,,Frederick,MD,21702,"MD 21702
(39.461767, -77.448244)"
1374998,,,Radio,Broadcast,Interference,,,,Frederick,MD,21702,"MD 21702
(39.461767, -77.448244)"
1375000,01-01-2017,,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,845-204-6911,Abandoned Calls,None,Roper,NC,27970,"NC 27970
(35.871349, -76.582297)"
1375003,,,Internet,Wireless,Availability,None,,None,Smith River,CA,95567,"CA 95567-0122
(41.942183, -124.1663)"
1375005,,,TV,Satellite,Billing,None,,None,Derry,NH,3038,"NH 03038
(42.887787, -71.290894)"
1375007,,,Internet,Cable,Equipment,None,,None,Cedartown,GA,30125,"GA 30125
(34.003429, -85.262109)"
1375010,,,TV,Satellite,Availability,None,,None,Albuquerque,NM,87112,"NM 87112
(35.101376, -106.519264)"
1375014,,,TV,Cable,Equipment,None,,None,Plymouth,MA,2360,"MA 02360
(41.886602, -70.62855)"
1375015,,,Internet,Wireless,Speed,,,,Brooksville,FL,34601,"FL 34601
(28.573132, -82.369041)"
1375016,,,TV,Satellite,Availability,None,,None,Clermont,FL,34711,"FL 34711
(28.529943, -81.739693)"
1375019,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Brooklyn,NY,11214,"NY 11214
(40.599583, -73.996455)"
1375020,,,Internet,Cable,Billing,None,,None,Upper Saddle River,NJ,7458,"NJ 07458
(41.048651, -74.097982)"
1375022,,,TV,Satellite,Billing,,,,Lancaster,CA,93536,"CA 93536
(34.74564, -118.356914)"
1375024,,,TV,Satellite,Availability,None,,None,Flovilla,GA,30216,"GA 30216
(33.246493, -83.888208)"
1375026,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Clover,SC,29710,"SC 29710
(35.106484, -81.193726)"
1375030,,,TV,Satellite,Availability,None,,None,Rock Hill,SC,29730,"SC 29730
(34.902043, -81.010065)"
1375035,,,TV,Cable,Availability,None,,None,Jacksonville,FL,32258,"FL 32258
(30.143049, -81.552189)"
1375036,,,Internet,Cable,Equipment,None,,None,Alexandria,VA,22304,"VA 22304-4021
(38.811077, -77.139484)"
1375037,,,TV,Cable,Availability,None,,None,Morgantown,WV,26508,"WV 26508
(39.607561, -79.901514)"
1375038,,,TV,Satellite,Billing,,,,Sevierville,TN,37862,"TN 37862
(35.791737, -83.59985)"
1375043,01-01-2017,,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,845-513-0512,Prerecorded Voice,None,Brooklyn,NY,11218,"NY 11218
(40.643629, -73.976298)"
1375044,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,New York,NY,10002,"NY 10002
(40.715712, -73.987053)"
1375045,,,TV,Satellite,Availability,None,,None,Yulee,FL,32097,"FL 32097
(30.64073, -81.613429)"
1375047,,,Internet,Cable,Billing,None,,None,Havertown,PA,19083,"PA 19083
(39.977505, -75.31077)"
1375049,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Lakewood,CA,90712,"CA 90712
(33.850294, -118.146843)"
1375051,,,Phone,Wireless (cell phone/other mobile device),Privacy,None,,None,Oakland,PA,15213,"PA 15213
(40.443434, -79.955701)"
1375053,,,Phone,Wireless (cell phone/other mobile device),Equipment,None,,None,San Francisco,CA,94117,"CA 94117
(37.770274, -122.443224)"
1375055,,,Internet,Cable,Billing,None,,None,Lacey,WA,98513,"WA 98513
(47.002092, -122.751179)"
1375057,,,Radio,,Interference,None,,None,Pleasanton,CA,94566,"CA 94566
(37.659437, -121.867131)"
1375059,,,TV,Satellite,Availability,None,,None,Orlando,FL,32824,"FL 32824
(28.386921, -81.357284)"
1375061,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Woodbury,MN,55125,"MN 55125
(44.920588, -92.942565)"
1375062,,,TV,Cable,Availability,,,,Mckee,KY,40447,"KY 40447
(37.446485, -84.034762)"
1375065,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,West Bloomfield,MI,48322,"MI 48322
(42.541623, -83.382178)"
1375066,,,Internet,Cable,Billing,None,,None,Houghton,MI,49931,"MI 49931
(47.119029, -88.584022)"
1375068,,,TV,Satellite,Availability,,,,Jackson,GA,30233,"GA 30233
(33.291902, -83.977249)"
1375069,,,Internet,Cable,Interference,None,,None,Longmont,CO,80503,"CO 80503
(40.157538, -105.185328)"
1375071,,,TV,Satellite,Availability,None,,None,Indian Harbor Bch,FL,32937,"FL 32937
(28.173998, -80.599363)"
1375072,,,TV,Cable,Availability,None,,None,Duluth,GA,30096,"GA 30096
(33.976877, -84.150083)"
1375073,,,TV,Satellite,Interference,None,,None,Shorewood,WI,53211,"WI 53211
(43.08237, -87.884363)"
1375075,,,Internet,Cable,Interference,None,,None,Naples,FL,34116,"FL 34116
(26.185608, -81.708055)"
1375077,,,TV,Satellite,Availability,None,,None,Uxbridge,MA,1569,"MA 01569
(42.061776, -71.634285)"
1375079,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Baltimore,MD,21224,"MD 21224
(39.284486, -76.549062)"
1375082,,,Internet,Cable,Speed,,,,Weymouth,MA,2188,"MA 02188
(42.208442, -70.957606)"
1375084,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Glenham,SD,57631,"SD 57631
(45.577933, -100.251392)"
1375085,,,TV,Satellite,Availability,None,,None,Murrysville,PA,15668,"PA 15668
(40.454535, -79.677296)"
1375086,,,TV,Cable,Availability,None,,None,Mansfield,MA,2048,"MA 02048
(42.020106, -71.217512)"
1375088,,,Internet,Cable,Availability,None,,None,Coldwater,MS,38618,"MS 38618
(34.699941, -89.93008)"
1375090,,,TV,Satellite,Equipment,,,,Algonquin,IL,60102,"IL 60102
(42.161844, -88.309945)"
1375091,,,Internet,Wireless,Interference,None,,None,Oakland,PA,15213,"PA 15213
(40.443434, -79.955701)"
1375092,,,Internet,Wireless,Interference,None,,None,Highland,CA,92346,"CA 92346
(34.123358, -117.193375)"
1375094,,,TV,Broadcast,Interference,None,,None,Maysville,MO,64469,"MO 64469
(39.934053, -94.35524)"
1375096,,,TV,Satellite,Availability,None,,None,Urbandale,IA,50323,"IA 50323
(41.632009, -93.810514)"
1375101,,,TV,Satellite,Availability,None,,None,Gibsonia,PA,15044,"PA 15044
(40.635343, -79.955108)"
1375104,01-01-2017,1:51 PM,TV,Cable,Indecency,None,,None,Charlotte,NC,28226,"NC 28226
(35.107444, -80.81869)"
1375107,,,Internet,Cable,Speed,None,,None,Fort Lauderdale,FL,33334,"FL 33334
(26.183079, -80.134765)"
1375109,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Brooklyn,NY,11229,"NY 11229
(40.600494, -73.943351)"
1375111,,,Internet,Cable,Billing,None,,None,Denver,CO,80206,"CO 80206
(39.730238, -104.952049)"
1375115,,,Phone,Wireless (cell phone/other mobile device),Privacy,,,,Flushing,NY,11354,"NY 11354
(40.768432, -73.826093)"
1375116,,,Phone,Wireless (cell phone/other mobile device),Privacy,,,,Flushing,NY,11354,"NY 11354
(40.768432, -73.826093)"
1375124,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Warrington,PA,18976,"PA 18976
(40.245004, -75.139973)"
1375125,01-01-2017,1:15 AM,TV,Cable,Indecency,None,,None,Cedar,MI,49621,"MI 49621
(44.867589, -85.778033)"
1375127,,,TV,Fiber,Equipment,None,,None,Shirley,MA,1464,"MA 01464
(42.567038, -71.647299)"
1375130,,,TV,Satellite,Availability,None,,None,Lynden,WA,98264,"WA 98264
(48.945625, -122.455353)"
1375133,,,TV,Satellite,Availability,None,,None,Tulsa,OK,74137,"OK 74137
(36.021595, -95.928002)"
1375134,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Roseville,MI,48066,"MI 48066
(42.505372, -82.937275)"
1375137,,,Phone,Internet (VOIP),Billing,None,,None,Ringgold,GA,30736,"GA 30736
(34.912113, -85.143517)"
1375139,,,Internet,Cable,Billing,None,,None,Chicago,IL,60707,"IL 60707
(41.921777, -87.808283)"
1375142,,,TV,Cable,Interference,,,,Fort Myers,FL,33912,"FL 33912
(26.534587, -81.830098)"
1375144,,,TV,Satellite,Availability,None,,None,Anacortes,WA,98221,"WA 98221
(48.487079, -122.628418)"
1375146,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Encino,CA,1316,"CA 01316
(18.113421, -66.163661)"
1375149,,,Internet,Cable,Speed,None,,None,Davenport,IA,52804,"IA 52804
(41.534136, -90.649099)"
1375153,,,TV,Satellite,Availability,None,,None,Woodward,OK,73801,"OK 73801
(36.417776, -99.413565)"
1375156,,,Phone,Wireless (cell phone/other mobile device),Interference (including signal jammers),None,,None,Oakland,PA,15213,"PA 15213
(40.443434, -79.955701)"
1375158,,,TV,Satellite,Availability,None,,None,Kent,WA,98031,"WA 98031-1524
(47.40561, -122.196448)"
1375160,,,TV,Cable,Availability,None,,None,Columbia,CA,95310,"CA 95310
(38.048041, -120.395037)"
1375162,,,Internet,DSL,Availability,None,,None,Jacksonville,FL,32217,"FL 32217
(30.239948, -81.618659)"
1375163,,,TV,Cable,Billing,,,,Corryton,TN,37721,"TN 37721
(36.130018, -83.81332)"
1375164,,,Internet,Cable,Speed,None,,None,Minonk,IL,61760,"IL 61760
(40.884977, -89.033098)"
1375167,,,TV,Satellite,Interference,None,,None,Cape Coral,FL,33909,"FL 33909
(26.693105, -81.94614)"
1375168,,,TV,Broadcast,Interference,None,,None,New Market,TN,37820,"TN 37820
(36.084495, -83.564577)"
1375169,,,TV,Satellite,Availability,None,,None,Latrobe,PA,15650,"PA 15650
(40.284408, -79.393626)"
